year,y,x1,x2,x3,x4
2000,8553.69,4418.14,2995.43,865.00,100.10
2001,9456.84,4436.45,3302.96,1064.99,100.80
2002,10606.85,4472.84,3849.24,1483.68,99.20
2003,12442.87,4499.97,5335.80,1968.92,101.00
2004,15136.78,4537.07,6827.59,2216.41,104.10
2005,18769.32,4578.75,8739.71,3124.83,102.10
2006,21965.61,4628.95,10071.42,3935.87,101.60
2007,26297.83,4677.88,12268.07,5591.29,104.30
2008,31360.64,4700.96,15060.45,7109.72,105.40
2009,34912.00,4726.54,18949.88,8404.99,99.60
2010,41971.34,4754.68,23184.28,11743.22,103.80
2011,49801.59,4758.23,26314.66,14119.85,105.30
2012,54888.84,4759.53,31706.58,14843.89,102.60
2013,60712.81,4759.89,35982.52,17328.80,102.30
2014,66150.64,4760.83,41552.75,18201.33,102.20
2015,71289.51,4758.50,45905.17,17841.60,101.70
2016,77388.28,4756.22,49370.85,19464.48,102.30
2017,85900.94,4757.80,53000.21,21125.77,101.70
